Accession,Gene Name,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Abundances A1,Abundances A2,Abundances A3,Abundances B1,Abundances B2,Abundances B3,Fold Change,p-value
A2BDP1,Fam155b,Transmembrane protein FAM155B OS=Mus musculus OX=10090 GN=Fam155b PE=3 SV=1,2.972399151,1,1,1,471,52.355,7.36,45.2,57.3,57.6,123.4,176.1,140.4,2.747657714,0.004371595
Q9QWL7,Krt17,"Keratin, type I cytoskeletal 17 OS=Mus musculus OX=10090 GN=Krt17 PE=1 SV=3",44.1108545,22,59,8,433,48.132,5.06,52.1,56.7,51.8,118,162.2,159.1,2.735367372,0.002920493
Q3UX83,Accsl,Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2 OS=Mus musculus OX=10090 GN=Accsl PE=2 SV=1,1.206896552,1,2,1,580,66.086,9.33,60.3,50.5,53.9,132.1,158.9,144.3,2.64298725,0.00039979
Q91XV3,Basp1,Brain acid soluble protein 1 OS=Mus musculus OX=10090 GN=Basp1 PE=1 SV=3,3.539823009,1,1,1,226,22.074,4.51,65.2,43.6,61.9,125.6,168.9,134.8,2.514938489,0.004312041
P63089,Ptn,Pleiotrophin OS=Mus musculus OX=10090 GN=Ptn PE=1 SV=1,19.64285714,3,6,3,168,18.857,9.6,57.6,55.3,65.6,159.2,114.6,147.7,2.361344538,0.004128324
P19137,Lama1,Laminin subunit alpha-1 OS=Mus musculus OX=10090 GN=Lama1 PE=1 SV=2,30.91144989,78,165,78,3083,337.93,6.71,57.2,64.9,57.1,175.1,120.4,125.2,2.34765625,0.01038874
Q61646,Hp,Haptoglobin OS=Mus musculus OX=10090 GN=Hp PE=1 SV=1,47.26224784,17,64,17,347,38.727,6.29,60.3,62.7,57,136.7,132.5,150.7,2.332777778,0.000154446
P31254,Uba1y,Ubiquitin-like modifier-activating enzyme 1 Y OS=Mus musculus OX=10090 GN=Uba1y PE=1 SV=2,11.8147448,11,34,1,1058,117.962,5.55,59.5,63.8,57.9,125.3,153.2,140.3,2.311258278,0.000658666
P29788,Vtn,Vitronectin OS=Mus musculus OX=10090 GN=Vtn PE=1 SV=2,19.45606695,8,18,8,478,54.814,5.88,62.8,66.2,60.9,155.1,123.5,131.5,2.159557662,0.001579101
O70456,Sfn,14-3-3 protein sigma OS=Mus musculus OX=10090 GN=Sfn PE=1 SV=2,27.01612903,6,53,3,248,27.689,4.78,64.1,62,63.9,124.3,146.8,138.9,2.157894737,0.000378669
P16627,Hspa1l,Heat shock 70 kDa protein 1-like OS=Mus musculus OX=10090 GN=Hspa1l PE=1 SV=4,23.40093604,11,65,2,641,70.593,6.24,65.3,66.3,58.5,120.5,157.7,131.7,2.156233561,0.002905027
P05366,Saa1,Serum amyloid A-1 protein OS=Mus musculus OX=10090 GN=Saa1 PE=1 SV=2,7.37704918,1,1,1,122,13.762,7.03,64.9,61.1,65.1,132.1,134.8,142,2.139717425,2.31587E-05
O08692,Ngp,Neutrophilic granule protein OS=Mus musculus OX=10090 GN=Ngp PE=1 SV=1,23.35329341,3,4,3,167,19.32,5.31,66,61.2,64.8,131.2,140.8,136.1,2.125520833,2.09695E-05
A2AKB4,Frmpd1,FERM and PDZ domain-containing protein 1 OS=Mus musculus OX=10090 GN=Frmpd1 PE=1 SV=1,0.451904454,1,2,1,1549,169.102,5.16,70.4,52.5,71.4,137.4,143.1,125.3,2.088522903,0.00094923
P06683,C9,Complement component C9 OS=Mus musculus OX=10090 GN=C9 PE=1 SV=2,2.189781022,1,1,1,548,61.962,5.78,61.3,71.4,61.6,128.9,140,136.9,2.088522903,0.000113575
P09041,Pgk2,Phosphoglycerate kinase 2 OS=Mus musculus OX=10090 GN=Pgk2 PE=1 SV=4,15.82733813,6,28,1,417,44.824,6.8,65.4,60.7,72.4,121.3,138.1,142.2,2.023173804,0.000728836
Q8C196,Cps1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus OX=10090 GN=Cps1 PE=1 SV=2",8.466666667,12,18,9,1500,164.514,6.92,72.6,64.1,62.7,119.9,146.7,134.1,2.009528586,0.001293353
Q3UGY8,Arfgef3,Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Mus musculus OX=10090 GN=Arfgef3 PE=1 SV=1,0.506912442,1,1,1,2170,239.938,5.88,64.5,67.5,67.9,118.8,149.7,131.6,2.00150075,0.00178596
Q9Z248,Aebp2,Zinc finger protein AEBP2 OS=Mus musculus OX=10090 GN=Aebp2 PE=1 SV=2,1.587301587,1,1,1,504,52.93,5.33,64.7,76.6,58.8,115.6,157.7,126.6,1.99850075,0.008166104
Q06890,Clu,Clusterin OS=Mus musculus OX=10090 GN=Clu PE=1 SV=1,36.38392857,14,25,14,448,51.623,5.67,66.5,67.3,67.8,151.5,120.2,126.6,1.975694444,0.002361372
Q91WP6,Serpina3n,Serine protease inhibitor A3N OS=Mus musculus OX=10090 GN=Serpina3n PE=1 SV=1,33.01435407,11,29,6,418,46.688,5.82,71.9,62.1,68.2,128.4,129.4,139.9,1.966864491,0.000151345
Q80Y98,Ddhd2,Phospholipase DDHD2 OS=Mus musculus OX=10090 GN=Ddhd2 PE=1 SV=3,6.151645207,3,3,3,699,79.527,5.31,65.4,71.2,69.3,112,153.8,128.4,1.914521612,0.006925434
Q8VED5,Krt79,"Keratin, type II cytoskeletal 79 OS=Mus musculus OX=10090 GN=Krt79 PE=1 SV=2",8.662900188,7,17,2,531,57.517,7.69,69.5,65.9,71.8,110.8,134.1,147.9,1.895752896,0.004852643
P02468,Lamc1,Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2,31.30056005,46,109,46,1607,177.185,5.21,69.4,69.2,69.5,155.6,118.6,117.7,1.883229217,0.008005424
Q9DCV7,Krt7,"Keratin, type II cytoskeletal 7 OS=Mus musculus OX=10090 GN=Krt7 PE=1 SV=1",14.44201313,8,32,3,457,50.678,5.87,69.9,74.2,65.3,113.5,152.6,124.5,1.865329513,0.007148432
P02469,Lamb1,Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3,32.13885778,50,110,50,1786,196.961,4.94,67.4,76.6,66.8,158.1,114.2,117,1.846774194,0.014947944
P12246,Apcs,Serum amyloid P-component OS=Mus musculus OX=10090 GN=Apcs PE=1 SV=2,26.33928571,6,10,6,224,26.23,6.35,70.7,69.7,70.4,130.1,124.6,134.5,1.84629981,3.24559E-05
Q3TYS2,Cybc1,Cytochrome b-245 chaperone 1 OS=Mus musculus OX=10090 GN=Cybc1 PE=1 SV=2,5.347593583,1,2,1,187,20.908,8.59,68,73,70.2,119.2,135,134.6,1.840909091,0.000392951
P50608,Fmod,Fibromodulin OS=Mus musculus OX=10090 GN=Fmod PE=2 SV=1,12.76595745,4,7,4,376,43.027,6.04,68.6,70.7,72,115.5,145.8,127.3,1.839091339,0.002639616
P10493,Nid1,Nidogen-1 OS=Mus musculus OX=10090 GN=Nid1 PE=1 SV=2,31.72690763,29,67,28,1245,136.45,5.44,72.5,71.3,67.7,151.5,118.7,118.3,1.836879433,0.006014339
Q9JHH6,Cpb2,Carboxypeptidase B2 OS=Mus musculus OX=10090 GN=Cpb2 PE=1 SV=1,12.08530806,4,6,4,422,48.84,7.97,69.1,75.3,69.6,133.4,123.5,129.1,1.803738318,8.02382E-05
Q61704,Itih3,Inter-alpha-trypsin inhibitor heavy chain H3 OS=Mus musculus OX=10090 GN=Itih3 PE=1 SV=3,19.23509561,12,29,12,889,99.296,6.05,73.9,73.2,67.2,122.9,131.9,130.9,1.799813346,8.75851E-05
P03991,H2-K1,"H-2 class I histocompatibility antigen, K-W28 alpha chain OS=Mus musculus OX=10090 GN=H2-K1 PE=1 SV=2",24.18478261,7,16,1,368,41.078,7.11,72.8,75.5,66.9,105.5,162.8,116.4,1.787639405,0.033435937
Q91X72,Hpx,Hemopexin OS=Mus musculus OX=10090 GN=Hpx PE=1 SV=2,47.39130435,23,133,23,460,51.285,7.8,71.9,73.3,71.1,125.9,123.7,134.1,1.773925104,6.58069E-05
Q8R121,Serpina10,Protein Z-dependent protease inhibitor OS=Mus musculus OX=10090 GN=Serpina10 PE=1 SV=1,10.04464286,4,6,4,448,51.764,5.67,70,76.8,69.5,122.3,131.8,129.6,1.773925104,0.000114241
P33434,Mmp2,72 kDa type IV collagenase OS=Mus musculus OX=10090 GN=Mmp2 PE=1 SV=1,7.552870091,3,3,3,662,74.055,5.53,69.8,74.3,72.2,121.1,144.5,118.1,1.773925104,0.002720068
P63254,Crip1,Cysteine-rich protein 1 OS=Mus musculus OX=10090 GN=Crip1 PE=1 SV=2,71.42857143,4,5,4,77,8.544,8.57,67.6,75.3,74.2,128.3,128.2,126.3,1.763242745,2.44842E-05
P05214,Tuba3a,Tubulin alpha-3 chain OS=Mus musculus OX=10090 GN=Tuba3a PE=1 SV=1,50.22222222,17,278,1,450,49.928,5.1,77.5,66.3,74,135.4,123,123.9,1.755280073,0.000452179
Q8K0E8,Fgb,Fibrinogen beta chain OS=Mus musculus OX=10090 GN=Fgb PE=1 SV=1,54.67775468,23,68,23,481,54.718,7.08,71.8,73.1,73.4,123,132.5,126.1,1.748053138,4.36517E-05
A6X935,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus OX=10090 GN=Itih4 PE=1 SV=2",29.40552017,21,42,21,942,104.594,6.4,72.6,76.2,72.6,122.3,127.3,128.9,1.709575429,2.28885E-05
Q8VCM7,Fgg,Fibrinogen gamma chain OS=Mus musculus OX=10090 GN=Fgg PE=1 SV=1,54.81651376,21,66,21,436,49.36,5.86,74.2,74.6,74.1,120.3,133.3,123.5,1.69179004,0.0001941
O35744,Chil3,Chitinase-like protein 3 OS=Mus musculus OX=10090 GN=Chil3 PE=1 SV=2,15.82914573,4,7,4,398,44.43,5.69,66.8,87.8,68.4,128.4,130.3,118.3,1.69058296,0.002641084
Q91V80,Apof,Apolipoprotein F OS=Mus musculus OX=10090 GN=Apof PE=2 SV=2,6.031746032,1,1,1,315,34.337,5.82,76,74.1,73.3,145.3,104.9,126.4,1.685765443,0.012010911
Q9WV02,Rbmx,"RNA-binding motif protein, X chromosome OS=Mus musculus OX=10090 GN=Rbmx PE=1 SV=1",26.342711,11,27,1,391,42.275,10.05,74.8,75.6,73.5,117.1,134.2,124.8,1.679767753,0.00052389
P32848,Pvalb,Parvalbumin alpha OS=Mus musculus OX=10090 GN=Pvalb PE=1 SV=3,83.63636364,11,30,11,110,11.923,5.19,67.5,77.3,79.2,127.2,107.8,140.9,1.678125,0.007854725
Q8K211,Slc31a1,High affinity copper uptake protein 1 OS=Mus musculus OX=10090 GN=Slc31a1 PE=2 SV=1,5.612244898,1,1,1,196,21.946,7.28,75,76.1,73.1,138.9,116.6,120.2,1.67573595,0.001923228
Q60847,Col12a1,Collagen alpha-1(XII) chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3,37.24358974,90,153,90,3120,340.004,5.64,74.6,75.3,74.5,106.7,150.4,118.5,1.673796791,0.018137027
Q60590,Orm1,Alpha-1-acid glycoprotein 1 OS=Mus musculus OX=10090 GN=Orm1 PE=1 SV=1,32.36714976,6,36,4,207,23.88,5.85,75.7,77.4,73,123.5,121,129.4,1.653693056,6.13084E-05
P04945,,Ig kappa chain V-VI region NQ2-6.1 OS=Mus musculus OX=10090 PE=2 SV=1,14.81481481,1,1,1,108,11.706,8.84,70.7,84,71.8,123.7,124.6,125.2,1.649006623,0.000333413
E9PV24,Fga,Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1,27.12294043,19,67,19,789,87.375,6.11,75.6,76.6,74.8,121.8,124.2,126.8,1.642290749,5.92804E-06
Q9R182,Angptl3,Angiopoietin-related protein 3 OS=Mus musculus OX=10090 GN=Angptl3 PE=1 SV=1,2.417582418,1,1,1,455,52.51,6.65,77.9,72.3,76.9,120.4,133.4,119,1.641567591,0.000580777
P11672,Lcn2,Neutrophil gelatinase-associated lipocalin OS=Mus musculus OX=10090 GN=Lcn2 PE=1 SV=1,29.5,6,8,6,200,22.861,8.81,77.1,77.8,73.4,113.5,133,125.2,1.628120894,0.001204611
Q3THK3,Gtf2f1,General transcription factor IIF subunit 1 OS=Mus musculus OX=10090 GN=Gtf2f1 PE=1 SV=2,3.346456693,1,1,1,508,57.206,7.01,77.6,74.7,76.7,127.2,120.2,123.5,1.619650655,2.74781E-05
Q8BHI4,Kbtbd3,Kelch repeat and BTB domain-containing protein 3 OS=Mus musculus OX=10090 GN=Kbtbd3 PE=2 SV=1,3.294892916,2,2,2,607,69.506,5.71,77.4,79.2,73.3,124.7,123.3,122.2,1.610265333,1.58234E-05
Q8BUD0,Gpr4,G-protein coupled receptor 4 OS=Mus musculus OX=10090 GN=Gpr4 PE=2 SV=1,1.917808219,1,1,1,365,41.078,8.46,69.6,83.4,76.9,129.1,111.9,129,1.609395389,0.002580614
P08071,Ltf,Lactotransferrin OS=Mus musculus OX=10090 GN=Ltf PE=1 SV=4,29.7029703,15,22,15,707,77.788,8.53,80.8,76.6,72.6,120.9,126.9,122.1,1.60826087,9.92134E-05
P12849,Prkar1b,cAMP-dependent protein kinase type I-beta regulatory subunit OS=Mus musculus OX=10090 GN=Prkar1b PE=1 SV=2,12.07349081,5,9,1,381,43.197,5.96,71.9,92.3,67,110.5,126.1,132.3,1.595588235,0.010471835
Q9D6X6,Prss23,Serine protease 23 OS=Mus musculus OX=10090 GN=Prss23 PE=2 SV=2,3.403141361,1,1,1,382,43.044,9.5,89.3,66.7,75.2,133.9,115.3,119.6,1.595155709,0.006108877
P16125,Ldhb,L-lactate dehydrogenase B chain OS=Mus musculus OX=10090 GN=Ldhb PE=1 SV=2,31.73652695,9,17,8,334,36.549,6.05,80.4,77.1,74.8,113.6,128.5,125.6,1.582866982,0.000737146
Q80Z71,Tnn,Tenascin-N OS=Mus musculus OX=10090 GN=Tnn PE=1 SV=2,1.025641026,1,1,1,1560,172.983,5.41,71.4,100.2,60.8,107.6,137.1,122.8,1.581325301,0.0362411
P11247,Mpo,Myeloperoxidase OS=Mus musculus OX=10090 GN=Mpo PE=1 SV=2,24.79108635,14,18,12,718,81.13,9.55,79.8,77.6,75.3,116.4,134.1,116.9,1.578856897,0.00166441
P84075,Hpca,Neuron-specific calcium-binding protein hippocalcin OS=Mus musculus OX=10090 GN=Hpca PE=1 SV=2,31.0880829,6,9,1,193,22.413,4.97,73.5,83,76.4,113.2,142.7,111.1,1.575783598,0.013430795
Q4VAA2,Cdv3,Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=2,17.79359431,3,4,3,281,29.711,6.1,78.4,79.9,74.9,121.1,124.4,121.2,1.572469983,1.71702E-05
Q03350,Thbs2,Thrombospondin-2 OS=Mus musculus OX=10090 GN=Thbs2 PE=1 SV=2,8.447098976,8,10,8,1172,129.798,4.82,76.5,79.3,77.5,111.9,133.4,121.3,1.571367338,0.002101431
P41245,Mmp9,Matrix metalloproteinase-9 OS=Mus musculus OX=10090 GN=Mmp9 PE=1 SV=2,2.054794521,1,1,1,730,80.484,6.09,79.2,77.6,76.6,112.6,140.2,113.9,1.571122536,0.007904142
Q62059,Vcan,Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2,0.595770033,1,1,1,3357,366.56,4.64,80.5,74.9,78,128.1,117.4,121,1.570265638,0.00023221
P58774,Tpm2,Tropomyosin beta chain OS=Mus musculus OX=10090 GN=Tpm2 PE=1 SV=1,48.94366197,17,69,9,284,32.817,4.7,83.5,82.4,67.9,98.6,120.3,147.3,1.566295979,0.041934644
P97290,Serping1,Plasma protease C1 inhibitor OS=Mus musculus OX=10090 GN=Serping1 PE=1 SV=3,23.61111111,8,12,8,504,55.549,6.29,77.5,79.8,76.9,122.9,116.7,126.2,1.561912895,0.000114641
Q8BW49,Ttc12,Tetratricopeptide repeat protein 12 OS=Mus musculus OX=10090 GN=Ttc12 PE=1 SV=1,2.272727273,1,1,1,704,78.703,5.64,73.4,85.8,75.2,105.7,138.2,121.7,1.559726962,0.012552622
Q9DD06,Rarres2,Retinoic acid receptor responder protein 2 OS=Mus musculus OX=10090 GN=Rarres2 PE=1 SV=1,19.75308642,3,3,3,162,18.338,9.2,81.4,77.1,76,131.6,105.7,128.2,1.558635394,0.006227178
Q9CR86,Carhsp1,Calcium-regulated heat stable protein 1 OS=Mus musculus OX=10090 GN=Carhsp1 PE=1 SV=1,27.7027027,2,3,2,148,16.052,8.21,72.2,79.2,83.4,138.9,109.2,117.1,1.555366269,0.010080926
Q9CXF0,Kynu,Kynureninase OS=Mus musculus OX=10090 GN=Kynu PE=1 SV=3,3.232758621,1,2,1,464,52.292,6.57,77.8,83.4,74.6,109.1,135.7,119.5,1.54495335,0.006288111
Q61176,Arg1,Arginase-1 OS=Mus musculus OX=10090 GN=Arg1 PE=1 SV=1,20.43343653,5,7,5,323,34.786,7.01,82.9,77.3,76.1,138.9,118.2,106.7,1.539568345,0.011658484
Q9DAM7,Tmem263,Transmembrane protein 263 OS=Mus musculus OX=10090 GN=Tmem263 PE=1 SV=1,13.04347826,1,1,1,115,11.542,9.32,76.4,80,80.2,128.5,114.6,120.3,1.535925613,0.000558002
O88627,Slc28a2,Sodium/nucleoside cotransporter 2 OS=Mus musculus OX=10090 GN=Slc28a2 PE=1 SV=2,1.515151515,1,1,1,660,72.868,7.24,85,74.5,78.2,120.8,129.1,112.4,1.524190156,0.00190794
Q00342,Flt3,Receptor-type tyrosine-protein kinase FLT3 OS=Mus musculus OX=10090 GN=Flt3 PE=1 SV=2,1.9,2,4,1,1000,113.423,6.38,79.9,74.7,83.6,124.6,111.7,125.4,1.518471872,0.0013136
P06909,Cfh,Complement factor H OS=Mus musculus OX=10090 GN=Cfh PE=1 SV=2,30.55105348,27,41,27,1234,139.047,6.99,78.5,78.5,81.9,119.6,121.5,120,1.511511093,5.675E-06
P35441,Thbs1,Thrombospondin-1 OS=Mus musculus OX=10090 GN=Thbs1 PE=1 SV=1,15.8974359,15,20,15,1170,129.564,4.96,80.8,77.8,81,118.3,129.2,112.9,1.504173623,0.001199238
Q9D236,Htra3,Serine protease HTRA3 OS=Mus musculus OX=10090 GN=Htra3 PE=1 SV=3,3.050108932,1,1,1,459,49.118,7.12,84.3,87,69.4,110.8,132.3,116.2,1.492729539,0.009515128
P28653,Bgn,Biglycan OS=Mus musculus OX=10090 GN=Bgn PE=1 SV=1,44.44444444,13,34,12,369,41.613,7.27,81.4,78.6,81.6,118.8,124.3,115.4,1.483857616,0.000147738
Q9CXD9,Lrrc17,Leucine-rich repeat-containing protein 17 OS=Mus musculus OX=10090 GN=Lrrc17 PE=2 SV=1,2.483069977,1,1,1,443,51.819,8.34,91.1,65.8,84.7,110.4,129.7,118.2,1.483029801,0.014600227
P01027,C3,Complement C3 OS=Mus musculus OX=10090 GN=C3 PE=1 SV=3,49.18821407,69,150,69,1663,186.366,6.73,78.4,83.6,81.4,116.7,118.3,121.6,1.465078061,5.49381E-05
P15066,Jund,Transcription factor jun-D OS=Mus musculus OX=10090 GN=Jund PE=1 SV=1,4.105571848,1,1,1,341,34.883,7.44,83.3,80.5,79.7,114.1,126.2,116.2,1.464065708,0.000636051
P04223,H2-K1,"H-2 class I histocompatibility antigen, K-K alpha chain OS=Mus musculus OX=10090 GN=H2-K1 PE=1 SV=1",28.99728997,8,20,2,369,41.62,7.03,89.4,80.7,73.7,116.8,127,112.5,1.461443806,0.00389099
P39039,Mbl1,Mannose-binding protein A OS=Mus musculus OX=10090 GN=Mbl1 PE=1 SV=1,12.9707113,3,3,3,239,25.38,7.61,83.2,84.4,76.5,134.6,112.7,108.7,1.458418681,0.011407668
Q8CFV9,Rfk,Riboflavin kinase OS=Mus musculus OX=10090 GN=Rfk PE=1 SV=2,12.90322581,2,2,2,155,17.426,7.55,82.9,77.9,83.4,136.3,110.6,109,1.457411957,0.014508344
E9Q557,Dsp,Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1,2.670828998,7,8,7,2883,332.706,6.8,77.6,89,77.7,102.8,134,118.9,1.455996725,0.019094378
P23950,Zfp36l1,mRNA decay activator protein ZFP36L1 OS=Mus musculus OX=10090 GN=Zfp36l1 PE=1 SV=1,5.325443787,1,2,1,338,36.362,7.96,72.8,82.1,89.4,107.2,122.7,125.7,1.455587393,0.007703086
Q99PN3,Trim26,Tripartite motif-containing protein 26 OS=Mus musculus OX=10090 GN=Trim26 PE=2 SV=3,2.018348624,1,1,1,545,62.769,5.05,87.3,73.8,83.5,104.7,130.8,120,1.453393295,0.012522917
P25085,Il1rn,Interleukin-1 receptor antagonist protein OS=Mus musculus OX=10090 GN=Il1rn PE=2 SV=1,7.303370787,1,1,1,178,20.261,6.19,91,74.4,79.7,122.9,113.7,118.3,1.447980416,0.002774501
Q61702,Itih1,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Mus musculus OX=10090 GN=Itih1 PE=1 SV=2,7.938257993,6,9,6,907,101.004,6.96,84.8,75.2,85.4,115.1,121.3,118.3,1.445395273,0.000633726
Q61805,Lbp,Lipopolysaccharide-binding protein OS=Mus musculus OX=10090 GN=Lbp PE=1 SV=2,7.9002079,4,4,4,481,53.022,8.5,81.3,86.4,77.8,118.7,114.5,121.3,1.443991853,0.000337804
P07310,Ckm,Creatine kinase M-type OS=Mus musculus OX=10090 GN=Ckm PE=1 SV=1,57.74278215,20,75,19,381,43.018,7.06,80.2,89,76.4,103.9,109.9,140.7,1.443403909,0.038915971
Q8CGP0,Hist3h2bb,Histone H2B type 3-B OS=Mus musculus OX=10090 GN=Hist3h2bb PE=1 SV=3,55.55555556,9,193,3,126,13.9,10.32,88.9,81.9,75.1,106.8,126,121.3,1.440016267,0.006796818
P11276,Fn1,Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=4,45.57932983,77,250,77,2477,272.368,5.59,81.3,80,84.6,117.1,119.8,117.2,1.440016267,2.46689E-05
P19221,F2,Prothrombin OS=Mus musculus OX=10090 GN=F2 PE=1 SV=1,31.06796117,16,21,16,618,70.224,6.43,81.8,87.3,76.8,121.1,119.7,113.2,1.439609597,0.000753926
Q6NS82,Retreg2,Reticulophagy regulator 2 OS=Mus musculus OX=10090 GN=Retreg2 PE=1 SV=2,6.284658041,2,3,2,541,57.506,4.46,78,90.9,77.1,128.2,104,121.9,1.439430894,0.013322033
P05533,Ly6a,Lymphocyte antigen 6A-2/6E-1 OS=Mus musculus OX=10090 GN=Ly6a PE=1 SV=1,15.67164179,1,2,1,134,14.367,4.83,81.9,62.3,102.1,117.2,126.2,110.3,1.436053593,0.04445845
Q80YX1,Tnc,Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1,30.85308057,48,100,48,2110,231.659,4.89,80.4,83.3,82.9,106.2,130.2,117,1.433090024,0.007048263
P01942,Hba,Hemoglobin subunit alpha OS=Mus musculus OX=10090 GN=Hba PE=1 SV=2,91.54929577,11,220,11,142,15.076,8.22,76.5,87.3,83.1,118,113.5,121.5,1.429728635,0.000822862
Q9CQD4,Chmp1b2,Charged multivesicular body protein 1b-2 OS=Mus musculus OX=10090 GN=Chmp1b2 PE=2 SV=2,16.08040201,4,6,1,199,22.147,8.1,82,84.9,80.1,121.6,113.6,117.7,1.428744939,0.000197173
P05063,Aldoc,Fructose-bisphosphate aldolase C OS=Mus musculus OX=10090 GN=Aldoc PE=1 SV=4,32.50688705,9,20,4,363,39.37,7.12,80.3,84.7,82.2,118.1,119.3,115.4,1.427184466,3.35533E-05
P06330,,Ig heavy chain V region AC38 205.12 OS=Mus musculus OX=10090 PE=1 SV=1,26.27118644,3,4,3,118,12.926,7.11,77.3,83.9,86.2,106.9,123.3,122.4,1.425222312,0.004155318
G3X9C2,Nccrp1,F-box only protein 50 OS=Mus musculus OX=10090 GN=Nccrp1 PE=1 SV=2,4.135338346,1,2,1,266,30.389,7.12,88.5,80.9,78.3,130.4,105.1,116.8,1.422285022,0.011694993
Q9CY34,Ube2f,NEDD8-conjugating enzyme UBE2F OS=Mus musculus OX=10090 GN=Ube2f PE=1 SV=1,19.45945946,2,2,2,185,21.097,6.54,81.7,83.8,82.5,130.3,123.6,98.1,1.419354839,0.024291174
P08226,Apoe,Apolipoprotein E OS=Mus musculus OX=10090 GN=Apoe PE=1 SV=2,41.47909968,13,32,13,311,35.844,5.68,80.9,91,76.5,130.3,106.5,114.7,1.415056361,0.013762838
P02088,Hbb-b1,Hemoglobin subunit beta-1 OS=Mus musculus OX=10090 GN=Hbb-b1 PE=1 SV=2,84.3537415,13,338,5,147,15.83,7.65,77.3,84.7,86.5,112.6,119.8,119.1,1.414486922,0.000697187
Q8CC35,Synpo,Synaptopodin OS=Mus musculus OX=10090 GN=Synpo PE=1 SV=2,4.843918192,3,5,3,929,99.49,9.42,82.4,80.6,85.8,111.6,113.4,126.1,1.411173633,0.002091843
P15655,Fgf2,Fibroblast growth factor 2 OS=Mus musculus OX=10090 GN=Fgf2 PE=1 SV=1,6.493506494,1,1,1,154,17.142,9.52,83.3,73,92.8,104.8,135.2,110.9,1.408671216,0.035804524
